File Number,First Name:Principal Author,Last Name:Principal Author,Institution of Principal Author:Principal Author,Co Authors: Ê:Principal Author,White Paper Title,White Paper Description (350 character limit),File Link Ê
91,David,Schimel,Jet Propulsion Lab,"Berrien Moore III, Piers Sellers, David Baker, Colorado State University, Joe Berry, Carnegie Institution for Science, Kevin Bowman, NASA, JP, Abhishek Chatterjee, NASA, GSFC, David Crisp, NASA, JPL, Sean Crowell, University of Oklahoma, Scott Denning, Colorado State University, Riley Duren, NASA, JPL, Michelle Geirach, NASA, JPL, Kevin Gurney, Arizona State University, Kathy Hibbard, NASA, TE, Richard A. Houghton, Woods Hole Research Ctr., Debbie Huntzinger, Northern Arizona University, George Hurtt, University of Maryland, Ken Jucks, NASA, UARP, Randy Kawa, NASA, GSFC, Randy Koster, NASA, GSFC, Charlie Koven, Lawrence Berkeley National Lab, Yiqi Luo, University of Oklahoma, Jeff Masek, NASA, GSFC, Galen McKinley, Univ. of Wisconsin-Madison, Chip Miller, NASA, JPL John B. Miller, NOAA, ESRL, University of Oklahoma , Paul Moorcroft, Harvard University, Ray Nassar, Environment Canada, Chris O&rsquo;Dell, Colorado State University, Leslie Ott, NASA, GSFC, Steven Pawson, NASA, GSFC, Michael Puma, Columbia University, Tris Quaife, University of Reading, Haris Riris, NASA, GSFC, Natasha Romanou, NASA, GISS, Cecile Rousseaux, NASA, GSFC, Andrew Schuh, Colorado State University, Elena Shevliakova, GFDL, Ying Ping Wang, Center for Australian Weather, Chris Williams, Clark University, Xiangming Xiao, University of Oklahoma, Tatsuya Yokota, NIES Japan",Carbon and Climate,"Changes in  radiative forcing  from greenhouse gases is the most important driver of climate change. CO2 concentrations would be  higher if it were not for   uptake by the terrestrial biosphere and oceans, Understanding how  emissions affect atmospheric concentrations and hence climate is a  grand challenge for Earth System Science.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/183-74cf03a4f890fbbcc0049499729d0bca_SchimelDavidS.pdf
92,Lora,Koenig,"University of Colorado, National Snow and Ice Data Center","Marco Tedesco, Mary Albert, Patrick Alexander, Willem Jan van de Berg, Michiel van den Broeke, Kimberly Casey, Vena Chu, Indrani Das, Richard Forster, Derrick Lampkin, Ron Kwok, Michael MacFerrin, Joseph MacGregor, Cl_nt Mi_, Twila Moon, Thomas Neumann, Allen Pope, Harihar Rajaram, Ted Scambos, Mark Serreze, Laurence Smith",The importance of understanding and quantifying surface processes over the cryosphere for improved climate and sea level rise predictions,"Warming temperatures, amplified in the Arctic, are melting glaciers and ice sheets and diminishing Arctic sea ice extent and volume. This white paper advocates for satellite resources to monitor surface processes, such as melt water production, runoff, accumulation, and storage/retention, at high spatio-temporal resolutions over the cryosphere.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/44-af92e0f395e6147172b8cdbc8dc88876_KoenigLoraS.pdf
93,Joshua,Fisher,"Jet Propulsion Laboratory, California Institute of Technology","Elizabeth Middleton, Forrest Melton, Martha Anderson, Christopher Hain, Richard Allen, Matthew McCabe, Jean-Pierre Lagouarde, Kevin Tu, Dennis Baldocchi, Phil Townsend, Johan Perret, Diego Miralles, Duane Waliser, Andrew French, Eric Wood, Jay Famiglietti, Graeme Stephens, David Schimel, Simon Hook","Evapotranspiration:  A Critical Variable Linking Ecosystem Functioning, Carbon and Climate Feedbacks, Agricultural Management, and Water Resources","This White Paper describes the key challenges, timeliness, and space-based viewpoint for Evapotranspiration (ET), with links to ecosystem functioning, carbon and climate feedbacks, agricultural management, and water resources. It is authored by a sampling across government agencies, universities, private sector, and both domestic and international.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-7c5da975ba27b12cfee37c5a49d69019_FisherJoshuaB.pdf
94,Tamlin,Pavelsky,University of North Carolina,"Cedric H. David, Jerad D. Bales, Michelle M. Gierach, Liviu Giosan, Michael P. Lamb, Carl J. Legleiter, John M. Melack, Frank E. Muller-Karger, Jeffrey E. Richey, Ernesto Rodriguez, Marc Simard, and Laurence C. Smith","From the Mountains to the Sea: Interdisciplinary Science and Applications Driven by the Flow of Water, Sediment, and Carbon","Aligning human interests with environmental stewardship of fresh water and coastal oceans is a grand challenge, particularly in our rapidly changing world.  The future of these resources is uncertain, and scientific knowledge of processes governing them remains limited.  Space-based remote sensing provides a pathway to greater global understanding.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/184-c5472ced67a5aee51440a486e16f9150_PavelskyTamlinM.pdf
95,Jessica,Neu,"Jet Propulsion Laboratory, California Institute of Technology","Kevin Bowman, Stan Sander, Daniel Jacob, GEO-CAPE Atmospheric Science Working Group",Understanding the Co-Evolution of Air Quality and Climate Forcing in a Rapidly Changing World,There is an urgent need for optimized strategies to improve air quality and reduce anthropogenic global warming.  New satellite measurements are required to accurately quantify emissions of both long- and short-lived climate forcers and relate them to atmospheric concentrations and radiative forcing in an integrated way.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/243-af1f0f5098813d9c4b93a76e18f43729_NeuJessicaL2.pdf
96,Wendy,Calvin,"University of Nevada, Reno","Bernard E. Hubbard (USGS), Raymond F. Kokaly (USGS), Debsunder Dutta (Universisty of Illinois)","Key Questions and Challenges in Dynamic Earth Processes, Natural Resources, and Hazards linked to Geologic and Soil Surface Composition","This white paper discusses the major questions in landscape sciences addressed through surface compositional studies.  Earths dynamic surface processes cause land surface change due to erosion, degradation, and desertification, lead to concentration of natural resources, and create landscapes susceptible to natural or human-influenced hazards.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/243-18405eee969ca7e27d8c17f7057cc7ba_CalvinWendyM.pdf
97,Sue,Estes,University of Alabama in Huntsville,,Input to the NRC Decadal Survey for Earth Science and Applications from Space Health and Air Quality Applications,Paper provides inputs to inform health and air quality applications recommendations for the Decadal Survey.  A session of the NASA Health and Air Quality Applications Team Meeting held in Park City in September 2015 was dedicated to addressing this survey.  The meeting brought together community experts that use Earth observation data and systems.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/184-604c5f7eb3c3d657f7077f81f05761b3_Decadal+Article+Nov+2015.pdf
98,Ralph,Kahn,NASA Goddard Space Flight Center,"Timothy Berkoff, Gao Chen, Arlindo da Silva, Richard Ferrare, Steven Ghan, Thomas Hanisco, J. Vanderlei Martins, Cameron McNaughton, Daniel Murphy, John Ogren, Joyce Penner, Peter Pilewskie, John Seinfeld",The Role of Systematic Aircraft Measurements in Characterizing Aerosol Air Masses,Systematic aircraft in situ measurements in a modest operational program can resolve key limitations of existing and future satellite aerosol data for climate and air quality applications.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/246-7656f9be839b8fdd31322cfa78399e9f_ACE_Aerosol-Aircraft_RFI_response.docx
99,Natalie,Mahowald,Cornell University,"Greg Okin, Carlos Perez, Paul Ginoux, Olga Kalashnikova, Ron Miller, Roger Clark, Robert O. Green",Closing the Earth Surface Dust Source Composition Gap for Earth System Understanding and Modeling,"Mineral dust emitted to the atmosphere impacts direct and indirect radiative forcing, tropospheric chemistry, ecosystem fertilization, and human health.  Although source composition is as important as dust amount, dust composition is poorly constrained. Global space spectroscopic measurement of surface mineralogy closes this knowledge gap.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-298b3b8bb3b5f4027ab79ee7c58c81eb_MahowaldNatalieM.pdf
100,John,Worden,"Jet Propulsion Laboratory, California Institute of Technology","Jessica Neu, Daniel Jacob, Vivienne Payne, GEO-CAPE Atmospheric Science Working Group",Air Quality Impacts on Crop and Ecosystem health,Air pollution impacts on crop and ecosystem health and the subsequent changes in carbon uptake are critical to food security and climate warming.  New satellite measurements are needed to relate concentrations of key atmospheric pollutants to markers of ecosystem health at the spatiotemporal scales relevant to understanding these impacts.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/243-c07d201fac5dd0d7b459733b5965d3b4_WordenJohnR.pdf
101,kevin,gurney,arizona state university,"Karen C. Seto, Miguel Rom_ Riley Duren",Urban Carbon Monitoring 2.0: A critical need for carbon cycle science and climate policy,Outlines the need to improve monitoring of urban carbon emissions and related urban quantities from space.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-63136ce609f2f25b0bb5f74b555bebca_GurneyKevinR.docx
102,John,Worden,"Jet Propulsion Laboratory, California Institute of Technology","Jessica Neu, Daniel Jacob, Vivienne Payne, GEO-CAPE Atmospheric Science Working Group",Air Quality Impacts on Crop and Ecosystem health,Air pollution impacts on crop and ecosystem health and the subsequent changes in carbon uptake are critical to food security and climate warming.  New satellite measurements are needed to relate concentrations of key atmospheric pollutants to markers of ecosystem health at the spatiotemporal scales relevant to understanding these impacts.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/183-b5d1e37c8d03738ec279d95a52aee79a_WordenJohnR.pdf
103,Panagiotis,Vergados,"Jet Propulsion Laboratory, California Institute of Technology","Panagiotis Vergados, Anthony J. Mannucci",Constraining Climate Sensitivity Using Satellite Observations,"Narrowing down the uncertainty of climate feedbacks is important for improving  climate research. Current observing networks cannot capture the 3D spatio-temporal variability of water vapor, globally and under all weather conditions. Timely implementation of satellite data are critically needed to improve climate physics and existing models.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-cf2bad78da88a8aa872de39f10012e08_VergadosPanagiotis.docx
104,Andrew,Thorpe,"Jet Propulsion Laboratory, California Institute of Technology","Christian Frankenberg, Konstantin Gerilowski, David Thompson, Bo-Cai Gao, Dar Roberts, Philip Dennison, Andre Hollstein, Glynn Hulley, Joshua Fisher, Vincent Realmuto, Florian Schwandner, Eric Kort, Kam Weng Wong, Tanvir Islam",Mapping atmospheric constituents at high spatial resolution to understand their influence on Earth&amp;rsquo;s climate,"Facing climate change, it is critical to understand the influence of natural/anthropogenic atmospheric constituents on Earth&rsquo;s energy budget. A spaceborne imager with spectroscopic capability and fine spatial resolution would permit mapping numerous species that influence radiative forcing, including CH4, CO2, H2O, SO2, and aerosols.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/246-ddf93c4aec15a444c98b0f85675af36b_ThorpeAndrewK.pdf
105,Frank,Wentz,Remote Sensing Systems,"Carl Mears ,Benjamin D. Santer, Dudley Chelton, Mark Bourassa, Ralph Milliff",Continuity of Air-Sea Climate Variables,"This white paper advocates continuing the 2+ decades of air-sea climate variables measured by satellite active and passive microwave sensors. These climate variables include through-clouds sea-surface temperature and wind stress, near-surface vector winds, and atmospheric moisture in the form of vapor, clouds, and rain.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/245-044a54492405daf4b1243ae0d1613d7d_WentzFrankJ.pdf
106,Robert,Treuhaft,"Jet Propulsion Laboratory, California Institute of Technology","Michael Keller, Maxim Neumann",Global Forest Structure and Biomass Monitoring from Space,"Uncertainties in the level of and changes in carbon  in forests have a large impact on the uncertainty in future climate projection. Global above ground biomass monitoring is recommended. In particular, tropical forests may play a role in the missing carbon sink.  The Decadal Survey must look at diverse  space-based remote sensing options.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/243-b593d0896fcfcde3b3bb39ff417ca8b0_TreuhaftRobertN.docx
107,Margaret,Glasscoe,"Jet Propulsion Laboratory, California Institute of Technology","Gregory Lyzenga, Andrea Donnellan, Jay Parker, Christopher Milliner",Constraining Models of Interacting Fault Systems in Active Tectonic Zones using Geodetic Imaging to Improve Hazard Analysis,"Improved simulations will help characterize deformation associated with earthquakes, and help assess and mitigate their associated hazard. Spaceborne observations provide data that are necessary to validate models, but also provide synoptic, time-critical situational awareness to responders and decision makers in a disaster.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-927daf0999423d077d02925c874cf298_GlasscoeMargaretT.pdf
108,Mark,Bourassa,Florida State University,"Steven L. Morey, Shang-Ping Xie,  Dudley Chelton, Roger Samuelson,  Tom Farrar,  Nikolai Maximenko, Andrew Thompson",Wind and Current Coupling,"Broad description of the many important science issues, applications, and operational activities for which understanding the coupling of winds and currents is important",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/243-65112c776f5045ff64b30d3ac719a22e_BourassaMarkA.pdf
109,Bruce,Wielicki,NASA Langley Research Center,"Betsy Weatherhead, William Collins, V. Ramaswamy, Brian Soden, Tom Karl, Kevin Trenberth, Eric Rignot, Mark Abbott, Lee-Lueng Fu, Graeme Stephens, David Winker, Norman Loeb, Judith Lean, Joyce Penner, Robert Pincus, Greg Kopp, Peter Pilewskie, Hank Revercomb, Martin Mlynczak, David Johnson, Constantine Lukashin, William Smith, Sr., Xianglei Huang",The Need for a Climate Observing System,"The nation and the world need a rigorous climate observing system.  Given the large societal issues related to climate change, filling this hole in our scientific approach represents one of the greatest challenges to the task of this Decadal Survey.  While the Survey alone cannot solve this challenge, it can present the need and a vision forward.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/44-e44d54caa66fc0f760e3857f92a7fd67_Wielicki+et+al+Need+for+a+Climate+Observing+System+NRC+2017+DS+White+Paper+V2.pdf
110,Bruce,Wielicki,NASA Langley Research Center,"William Collins, V. Ramaswamy, Brian Soden, Tom Karl, Graeme Stephens, David Winker, Norman Loeb, Judith Lean, Joyce Penner, Robert Pincus, Greg Kopp, Peter Pilewskie, Hank Revercomb, Martin Mlynczak, David Johnson, Constantine Lukashin, William Smith, Sr., Xianglei Huang",The Scientific and Societal Challenge of Reducing Uncertainty in Climate Sensitivity,The next decade will be critical to improve the ability of current and future observations to constrain the factor of 4 uncertainty (90% confidence) in equilibrium climate sensitivity.  This uncertainty alone causes a factor of 10 or more uncertainty in future economic impacts of climate change.  Increased observation accuracy is essential.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-8b158cc93e788c72d1a196c5f9a15af3_Wielicki+et+al+Climate+Sensitivity+NRC+2017+DS+White+Paper+V2.pdf
111,WILLIAM,DENIG,National Oceanic and Atmospheric Administration,"Thomas Berger,  Rodney Viereck, Naomi Mayuyama, Peter Pilewski, Cora Randall, Craig Rodgers, Janet Machol, Arnaud Chulliat",On the Contributions of Operational Space Weather Satellite Data for Earth Science Research,This white paper discusses the status of operational satellite measurements that are primarily used for space weather applications but also contribute to earth science research.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-7ee1f40aef412a2a1dccc9a737fff82c_DenigWilliamF.pdf
112,Roger,Clark,Planetary Science Institute,,Local to Global Remote Sensing of Surface and Atmospheric Chemistry,"A more complete understanding of our environment on planet Earth requires understanding of the chemistry of the Earth system, including solid surface, liquid, the cryosphere and the atmosphere.  Remote chemical mapping of the surface and atmosphere can only be done with imaging spectrometers.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-c4e11291cff68cda92faf46f3e1dd45a_clark-earth-white-paper-for-decadal-survey-2015.11.02.v1.0.pdf
113,Dong,Wu,NASA/Goddard Space Flight Center,"Alexandar Marshak, Lazaros Oreopoulos, Kurtis Thome",Constellation approaches to assessing earth radiation imbalance,"Measuring earth radiation imbalance is a challenge, requiring stable, accurate sensors sampling multiple geometries and local times.  Current measurements achieve this by supplementing low-earth orbit data with models and ancillary data.  Achieving, however, accuracies of 0.5 W/m2 (daily means) and 0.1 W/m2 (annual) requires alternate approaches.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/243-79c6b2fb12cc2b52b3faa51803a3f3c6_wudongl.docx
114,Steven,Morey,Florida State University,"Nikolai Maximenko, Mark Bourassa",Satellite Measurements of Ocean Surface Currents &ndash; Critical Applications,Discusses the need for satellite-based ocean surface current observations for science and societal applications.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/183-aee7b592e396080a73f2738102c1f8c6_MoreyStevenL.pdf.pdf
115,Mahta,Moghaddam,University of Southern California,"Dara Entekhabi, Scott Goetz,  John Kimball,  Randy Koster, Walter Oechel, Rolf Reichle, Sassan Saatchi",Permafrost Active Layer Dynamics represent a Critical Climate Feedback requiring Space-based Measurements,Key Challenge/Question: What are the spatial distributions and temporal dynamics of permafrost soils and what are their feedbacks to/from the regional and global climate?,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/243-5d6abe9cf9f68b2b14d0f20a74124674_permafrost-DS-Oct2015-final.pdf
116,Daniel,Crichton,NASA/JPL,"D. Crichton, M. Little, G. Djorgovski, R. Doyle, Y. Gil, E. Law, J. Lemoigne-Stewart, C. Lukashin, P. Mehrotra, J. Nelson, D. Williams",Data and Computational Science Challenges for Earth Science Observational Systems,"Data and Computational Science are emerging as critical technologies areas that will increase the ability to capture, manage, and analyze data from earth observing systems.  Considering the technical capabilities from onboard computing all the way to analysis is critical as data is capture across multiple sensors and must be brought together.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-9ff75c06c2727b566a1921ae60e85dde_Data+Science-Computational+Science+Challenges.pdf
117,Michael,Garay,"Jet Propulsion Laboratory, California Institute of Technology","James R. Campbell, David J. Diner, Ralph A. Kahn, Matthew D. Lebsock, Po-Lun Ma, J. Vanderlei Martins, Felix C. Seidel, Jennifer D. Small Griswold, Armin Sorooshian, Marcin L. Witek",Addressing the Aerosol-Cloud-Precipitation Interaction Problem through Process Understanding,Addressing the critical aerosol-cloud-precipitation interaction problem will require coordinated space-based and suborbital observations of processes.  Spatial and temporal requirements can only be met by placing instruments on a constellation of microsatellites in low Earth orbit able to make multiple observations at high resolution over time.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/44-658413a5a90d35ba562c515679390aec_GarayMichaelJ.pdf
118,Annmarie,Eldering,Jet Propulsion Laboratory/ Caltech,"David Schimel, David Crisp, Charles Miller, Frederic Chevallier",CO2 Data Record Continuity Through Cross Calibration and Expansion,"Continuity of XCO2 data are critical to understanding the drivers of interannual variability in carbon sources and sinks, yet there is a pending gap in XCO2 measurements. We describe a strategy that is centered on the cross calibration of international remote sensing instrument to achieve this needed continuity.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/184-b6b68cf1de26190ea50d5c59ba808127_ElderingAnnmarie.pdf
119,Joao,Teixeira,"Jet Propulsion Laboratory, California Institute of Technology","Chi Ao (JPL, Caltech), Anton Beljaars (ECMWF), Christopher Bretherton (UW),  Axel von Engeln (EUMETSAT), Matthew Lebsock (JPL, Caltech), David Schimel (JPL, Caltech), Pier Siebesma (KNMI, TU Delft), Graeme Stephens (JPL, Caltech),  Jordi Vila (Wageningen UR), Robert Wood (UW)","The Atmospheric Boundary Layer: Climate, Weather and Applications",The atmospheric boundary layer (ABL) plays a key role in weather and climate. Improved ABL parameterizations will lead to better weather/climate forecasts. Detailed observations of ABL temperature and water vapor structure are essential for progress. These observations are not yet available from space but are within our grasp in the next 10 years.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-54da574b52a867940203a3543471a41a_TeixeiraJoao.pdf
120,Ryan,Pavlick,"Jet Propulsion Laboratory, California Institute of Technology","David Schimel (Jet Propulsion Laboratory, California Institute of Technology), Walter Jetz (Yale University), Jeannine Cavender-Bares (University of Minnesota), Frank Davis (University of California, Santa Barbara), Gregory P. Asner (Department of Global Ecology, Carnegie Institution of Washington), Robert Guralnick (Florida Museum of Natural History, University of Florida), Jens Kattge (Max-Planck Institute for Biogeochemisty), Andrew M.  Latimer (University of California, Davis), Paul Moorcroft (Harvard University), Michael E. Schaepman (University of Zurich), Mark P. Schildhauer (NCEAS, University of California, Santa Barbara), Fabian D. Schneider (University of Zurich), Franziska Schrodt (Max-Planck Institute for Biogeochemisty), Ulrike Stahl (Max-Planck Institute for Biogeochemisty), Susan L. Ustin (University of California, Davis)",Biodiversity,"Global biodiversity is one of the most crucial and least-observed dimensions of the earth system and increasingly crucial for anticipating changes to both the climate system and ecosystem services.  Satellite observations could provide global monitoring of one key dimension of global biodiversity, plant functional diversity.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-cc59f1b8061f41b296ae2586b3f99cb0_BiodiversityRFIfinal+%282%29.pdf
121,Forrest,Melton,NASA Ames Research Center Cooperative for Research in Earth Science and Technology (ARC-CREST),"Richard Allen, University of Idaho, Tony Morse, Spatial Analysis Group, Boise, ID, Ayse Kilic, University Nebraska-Lincoln, Martha Anderson, USDA Agricultural Research Service, John Bolten, NASA Goddard Space Flight Center, Rita Cestti, World Bank, Larry Dunsmoor, Klamath Tribe, Tyler Erickson, Google, Inc., Joshua Fisher, NASA Jet Propulsion Laboratory, Chris Hain, University of Maryland, Nagaraja Harshadeep, World Bank, Michael Hobbins, NOAA, Justin Huntington, Desert Research Institute, Simon Hook, NASA Jet Propulsion Laboratory, William Kustas, USDA Agricultural Research Service, Christine Lee, NASA Jet Propulsion Laboratory, Martin Mendez-Costabel, E&J Gallo Winery, John Tracy, University of Idaho, James Verdin, USGS, Tony Willardson, Western States Water Council, Steve Wolff, Wyoming State Engineer&rsquo;s Office, Duane Woodward, Central Platte Natural Resources District",Evapotranspiration Mapping for Water Security:   Recommendations and Requirements,This white paper focuses on the societal benefits and applications of satellite mapping of evapotranspiration (ET) and its use to address a wide range of water resource management challenges and information needs.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-4e32f7da6d33bb4e962dc0d8d0a03113_MeltonForrestS.pdf
122,Jordan,Gerth,University of Wisconsin - Madison,"Ralph Petersen, Robert Rabin, Timothy Schmit",Advanced infrared sounder in geostationary orbit: Monitoring water vapor evolution with high spatial and temporal resolution,"Monitoring the horizontal and vertical distribution of atmospheric water vapor is necessary for understanding the details of the hydrological cycle, and characterizing convection. Given the need for relatively high temporal resolution, an advanced geostationary infrared sounder is proposed to meet this ongoing challenge of the weather community.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-ffb884453b52db57d53887bceb3cedd8_GerthJordanJ.pdf
123,Olga,Kalashnikova,Jet Propulsion Laboratory,"Yang Liu, John E. Langstaff, Randall V. Martin, Joel Schwart, Michael Brauer, Jun Wang, Beate Ritz, Kembra L. Howdeshell, Judith R. Qualters,David J. Diner, Michael J. Garay, Chris Hostetler, Richard Ferrare, Sharon Burton",Societal Benefits of Composition-Resolved Particulate Matter Monitoring for Assessing Health Impacts Associated with Specific Pollution Sources,"Exposure to particulate matter (PM) has been linked to adverse health effects, however toxicity of specific PM types is much less certain. Surface monitors are too spatially and temporally limited for practical use in epidemiological studies. Space-based observations would yield significant societal benefits and vital information on PM type.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/246-e13835c6248d1e94f335a5ebfe1019ef_KalashnikovaOlgaV.pdf
124,David,Winker,NASA Langley Research Center,"Robert Pincus, Bruce Weilicki, Helene Chepfer, Sandrine Bony, Amin Nehrir","Clouds, Water Vapor, and Climate Sensitivity","Reducing the range of climate sensitivity estimated from global models requires reducing uncertainties in cloud feedbacks.  Potential mechanisms responsible for these feedbacks have been proposed, but require testing against observations.  We discuss the observations needed to meet these challenges.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-16d7b743ca34105dc1a74eacccaa3628_WinkerDavidM.pdf
125,Anthony,Davis,Jet Propulsion Laboratory / California Institute of Technology,"Guillaume Bal (Columbia University), Howard W. Barker (Environment Canada), David J. Diner (JPL/Caltech), Yangang Liu (DOE-BNL), Alexander Marshak (NASA-GSFC) Jeffrey S. Reid (NRL), J_me Ri_ (Universit_ille-1/LOA), Yoav Y. Schechner (Technion-IIT), Joao Teixeira (JPL/Caltech)","Gaps in Clouds, Aerosols, and Their Interactions, in the Climate System: How Can Future Satellite Remote Sensing Systems Help to Bridge Them?","The representation of clouds and of their interactions with aerosols in GCMs are dominant sources of uncertainty in predicting climate change. To address this stubborn issue, we need to map aerosol-cloud systems in 3D using carefully designed sensors in space and whole new class of algorithms to process their signals into key physical quantities.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/245-8f1cf1015ef5d4238eb4676cea21fcf4_DavisAnthonyB.pdf
126,Joseph,Santanello,NASA-GSFC,"Aaron Boone, Paul Dirmeyer, Michael Ek, Craig Ferguson, Pierre Gentine, Benoit Guillod, Zhanqing Li, Banjamin Lintner, David Turner, Chiel van Heerwaarden, Dong Wu, Volker Wulfmeyer, Yunyan Zhang",The Importance of Routine Planetary Boundary Layer  Measurements over Land from Space,"There is an established and growing need for PBL observations over land for research in hydrology, ecology, land-atmosphere interaction, turbulence, cloud and convection processes, turbulence (e.g. large eddy simulations (LES)), and aerosol/chemistry studies as well as associated weather and climate model evaluation and development.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/243-a2b088763134190f4b0189a418f875ac_DS_whitepaper_PBL_final.pdf
127,Steven,Greb,Wisconsin Department of Natural Resources,"Steven Greb, Simon Hook, Jay Austin, Paul DiGiacomo, Erin Hestir, ZhongPing Lee, John Lenters, John Melack, Colleen Mouw, Catherine O&#039;Reilly, Blake Schaeffer, Geoffrey Schladow, John Schott, Larry Smith, Richard Stumpf, Menghua Wang",Key Challenges for Inland Water Ecosystems,"Freshwater quality and quantity are changing in response to increasing stress from population growth and climate change. Ecosystem stressors and societal challenges include eutrophication, watershed alterations, climate change and invasive species. Space-based observations could help innumerable local inland water monitoring and management efforts.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-b93396479d290dc0fb1b0cfc711f9626_GrebStevenR.pdf
128,Blake,Schaeffer,Environmental Protection Agency,Darryl Keith,US EPA perspective on integrating Earth System Science with Water Quality Research and Management,"Water quality is essential for ecological health, population health and well-being.  No current or planned earth orbiting mission is optimized for water quality measures of inland waters (lakes and reservoirs) or estuaries.  A combined science- and application- driven, long-term plan needs to replace a mission-oriented approach to address this gap.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-a51cc0b31f27ce6c310270ad6bfb5812_SchaefferBlakeA.pdf
129,John,Iiames,US Environmental Protection Agency,"Kathleen Raffaele, Andrew Pilant",U.S. EPA perspective on integrating Earth System Science with Land Surface Research,"This paper addresses United States Environmental Protection Agency (EPA) operational and research challenges for the next decade in the utilization of space-based observations for the assessment of terrestrial properties affecting land, water, and air resources, and human health.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/66-348e4eb5007c9d0424486b5e87e0a500_IiamesJohnS.pdf
130,Karen,Rosenlof,National Oceanic and Atmospheric Administration,"Amin Nehrir, Thierry Leblanc, Troy Thornberry, Dale Hurst, Richard Ferrare, Glenn Diskin",Space-Based Observations of Upper Tropospheric and Lower Stratospheric Water Vapor Profiles,"This response focuses on the near term needs for sustaining and improving observations of upper tropospheric and lower stratospheric water vapor profiles.The synergy for active and passive measurements from airborne, spaceborne, and ground based platforms is highlighted. The utility of space based water vapor profile observations is also discussed.",http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-4cf04f56101c32148cc73cd9eedfbb56_UTLS_Water_Vapor_Final.pdf
131,Jim,Szykman,U. S. Environmental Protection Agency,Terry Keating,U.S. EPA Perspective - Key Earth System Science Challenges Related to Climate Change and Air Pollution,This is one of three responses formally provided by the EPA to the National Research Council in response to the Request For Information concerning the 2017-2027 NRC Decadal Survey in Earth Science and Applications from Space.,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/15647/2289356/36-c2607d4c0a3a2525c2fbc0c236369977_EPA+RFI+decadal+survey+response+Air-Climate_final.pdf
